"Competi","Country","Age","Stage","Composer","Associated Piece"
"Sergey Koudriakov","Russia","23","Preliminary Round","Rachmaninoff","Prelude in G Minor, Op.23, No.5"
"Sergey Koudriakov","Russia","23","Preliminary Round","Rachmaninoff","Prelude in D Major, Op.23, No.4"
"Sergey Koudriakov","Russia","23","Preliminary Round","Rachmaninoff","Prelude in C Minor, Op.23, No.7"
"Sergey Koudriakov","Russia","23","Preliminary Round","Stravinsky","Trois mouvements de Petrouchka"
"Sergey Koudriakov","Russia","23","Semifinal Recital","Schumann","Symphonic Etudes, Op.13"
"Sergey Koudriakov","Russia","23","Semifinal Recital","Liszt","Mephisto Waltz No.1"
"Sergey Koudriakov","Russia","23","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Sergey Koudriakov","Russia","23","Semifinal Recital","Tchaikovsky-Pletnev","Concert Suite fromThe Nutcracker"
"Sergey Koudriakov","Russia","23","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op.34"
"Sergey Koudriakov","Russia","23","Final Round","Mozart","Piano Concerto No.21 in C Major, K.467"
"Sergey Koudriakov","Russia","23","Final Round","Prokofiev","Piano Concerto No.3 in C Major, Op.26"
"Albert Mamriev","Israel","26","Preliminary Round","Shohat","Tragedy"
"Albert Mamriev","Israel","26","Preliminary Round","Haydn","Sonata in C Minor, Hob. XVI:20"
"Albert Mamriev","Israel","26","Preliminary Round","Schubert","Sonata in A Minor, D.537"
"Albert Mamriev","Israel","26","Preliminary Round","Liszt","Polonaise No.2 in E Major"
"Albert Mamriev","Israel","26","Semifinal Recital","Beethoven","Sonata in A-flat Major, Op.110"
"Albert Mamriev","Israel","26","Semifinal Recital","Brahms","Seven Fantasies, Op.116"
"Albert Mamriev","Israel","26","Semifinal Recital","Prokofiev","Sonata No.4 in C Minor, Op.29"
"Albert Mamriev","Israel","26","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Albert Mamriev","Israel","26","Chamber Music","Dvořák","Piano Quintet in A Major, Op.81"
"Albert Mamriev","Israel","26","Final Round","Mozart","Piano Concerto No.20 in D Minor, K.466"
"Albert Mamriev","Israel","26","Final Round","Mendelssohn","Piano Concerto No.1 in G Minor, Op.25"
"Maxim Manioukov","Russia","22","Preliminary Round","Beethoven","Variations on a Theme by Süßmayr, WoO 76"
"Maxim Manioukov","Russia","22","Preliminary Round","Liszt","Hungarian Rhapsody No.10"
"Maxim Manioukov","Russia","22","Preliminary Round","Scarlatti","Sonata in D Minor, K.9"
"Maxim Manioukov","Russia","22","Preliminary Round","Prokofiev","Sonata No.6 in A Major, Op.82"
"Maxim Manioukov","Russia","22","Semifinal Recital","Schubert","Sonata in D Major, D.850"
"Maxim Manioukov","Russia","22","Semifinal Recital","Judith Lang Zaimont","Impronta Digitale"
"Maxim Manioukov","Russia","22","Semifinal Recital","Schumann","Toccata, Op.7"
"Maxim Manioukov","Russia","22","Semifinal Recital","Stravinsky","Trois mouvements de Petrouchka"
"Maxim Manioukov","Russia","22","Chamber Music","Dvořák","Piano Quintet in A Major, Op.81"
"Maxim Manioukov","Russia","22","Final Round","Beethoven","Piano Concerto No.2 in B-flat Major, Op.19"
"Maxim Manioukov","Russia","22","Final Round","Liszt","Piano Concerto No.1 in E-flat Major"
"Oxana Mikhailoff","Russia","29","Preliminary Round","Schumann","Arabesque in C Major, Op. 18"
"Oxana Mikhailoff","Russia","29","Preliminary Round","Schubert","Sonata in A Minor, D.784"
"Oxana Mikhailoff","Russia","29","Preliminary Round","Rachmaninoff","Sonata No.2 in B-flat Minor, Op.36 (1931)"
"Oxana Mikhailoff","Russia","29","Preliminary Round","Muczynski","Toccata, Op.15"
"Oxana Mikhailoff","Russia","29","Semifinal Recital","Mozart","Sonata in C Major, K.330"
"Oxana Mikhailoff","Russia","29","Semifinal Recital","Chopin","Sonata No.3 in B Minor, Op.58"
"Oxana Mikhailoff","Russia","29","Semifinal Recital","Ravel","La Valse"
"Oxana Mikhailoff","Russia","29","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Oxana Mikhailoff","Russia","29","Semifinal Recital","Tchaikovsky-Pletnev","Concert Suite fromThe Nutcracker: Russian Dance-Trepak; Pas de deux"
"Oxana Mikhailoff","Russia","29","Chamber Music","Schumann","Piano Quintet in E-flat Major, Op.44"
"Oxana Mikhailoff","Russia","29","Final Round","Mozart","Piano Concerto No.23 in A Major, K.488"
"Oxana Mikhailoff","Russia","29","Final Round","Rachmaninoff","Piano Concerto No.3 in D Minor, Op.30"
"Anton Mordasov","Russia","29","Preliminary Round","Barber","Sonata for Piano, Op. 26"
"Anton Mordasov","Russia","29","Preliminary Round","Wagner–Liszt","SpinnerliedfromDer fliegende Holländer"
"Anton Mordasov","Russia","29","Preliminary Round","Tchaikovsky","Dumka, Op. 59"
"Anton Mordasov","Russia","29","Preliminary Round","Shchedrin","Prelude and Fugue in E-flat Minor"
"Anton Mordasov","Russia","29","Preliminary Round","Kreisler–Rachmaninoff","Liebesleid"
"Anton Mordasov","Russia","29","Preliminary Round","Kreisler–Rachmaninoff","Liebesfreud"
"Anton Mordasov","Russia","29","Semifinal Recital","Shostakovich","Prelude and Fugue in D Minor, Op.87, No.24"
"Anton Mordasov","Russia","29","Semifinal Recital","Liszt","Les cloches de Genève"
"Anton Mordasov","Russia","29","Semifinal Recital","Liszt","Au bord d’une source"
"Anton Mordasov","Russia","29","Semifinal Recital","Liszt","Orage"
"Anton Mordasov","Russia","29","Semifinal Recital","Judith Lang Zaimont","Impronta Digitale"
